MS,MS Name,CCI,Programme Title,Fund,Category of region,Year,Net Planned EU Amount,Cumulative initial pre-financing,Cumulative additional initial pre-financing,Recovery of initial pre-financing,Cumulative annual pre-financing,Pre-financing covered by expenditure,Recovery of annual pre-financing,Net pre-financing,Cumulative interim payments,Recovery of expenses,Net interim payments,Total net payments,EU payment rate,EU Payment Rate on Planned EU Amount
FR,France,2014FR05M0OP001,Île-de-France et Seine - ESF/ERDF/YEI,ERDF,More developed,2015,180104968.00,3385973.40,0.00,0.00,0.00,0.00,0.00,3385973.40,0.00,0.00,0.00,3385973.40,1.88,1.88
TC,Interreg,2014TC16RFCB048,Interreg V-A - United Kingdom-Ireland (Ireland-Wales),ERDF,,2023,79198450.00,2375953.50,0.00,0.00,15245701.64,4127143.59,7973451.92,5521059.63,52836541.31,0.00,56963684.90,62484744.53,78.90,78.90
GR,Greece,2014GR16M2OP010,North Aegean - ERDF/ESF,ERDF,Transition,2015,214491238.00,6039967.98,7046629.31,0.00,0.00,0.00,0.00,13086597.29,0.00,0.00,0.00,13086597.29,6.10,6.10
DK,Denmark,2014DK05FSOP001,FEAD - Denmark,FEAD,,2019,3944660.00,433912.60,0.00,0.00,0.00,0.00,0.00,433912.60,1996611.80,642808.05,1353803.75,1787716.35,45.32,45.32
CZ,Czechia,2014CZ16M1OP002,Environment  - CZ - ERDF/CF,CF,,2016,2315531476.00,63068311.23,0.00,0.00,42045540.82,0.00,0.00,105113852.05,1978475.00,0.00,1978475.00,107092327.05,4.62,4.62
GR,Greece,2014GR05FMOP001,FEAD - Greece,FEAD,,2019,280972531.00,30906978.41,0.00,0.00,0.00,0.00,0.00,30906978.41,80366200.55,0.00,80366200.55,111273178.96,39.60,39.60
HU,Hungary,2014HU16M2OP002,Competitive Central-Hungary  - ERDF/ESF,ESF,More developed,2020,216437973.00,5805638.16,0.00,0.00,25641568.54,0.00,14272193.81,17175012.89,137481758.43,26076231.57,111405526.86,128580539.75,59.41,59.41
SI,Slovenia,2014SI14MFOP001,Maritime and Fisheries - Slovenia,EMFF,,2020,22227139.00,699617.01,0.00,0.00,3033305.50,248994.39,1572100.92,1911827.20,4415617.83,0.00,4664612.22,6576439.42,29.59,26.51
FR,France,2014FR16M0OP007,Midi-Pyrénées et Garonne - ERDF/ESF/YEI,ERDF,More developed,2018,384359334.00,10838933.22,0.00,0.00,26645710.84,647858.53,16062163.52,20774622.01,71676024.02,0.00,72323882.55,93098504.56,24.22,24.22
SE,Sweden,2014SE16RFOP005,Stockholm - ERDF,ERDF,More developed,2019,36485339.00,1043722.86,0.00,0.00,3538234.95,783306.84,1768911.87,2029739.10,10541655.95,0.00,11324962.79,13354701.89,36.60,36.60
FR,France,2014FR05M9OP002,Alsace - ESF/YEI,YEI,,2022,8971428.00,0.00,0.00,0.00,1132642.80,167902.12,470836.73,493903.95,3639695.18,0.00,3807597.30,4301501.25,47.95,47.95
FI,Finland,2014FI05M2OP001,Entrepreneurship and skills Åland - ESF/ERDF,ESF,More developed,2022,2701962.00,75377.52,0.00,0.00,443347.05,166412.49,204341.73,147970.35,2167293.47,29946.48,2303759.48,2451729.83,90.74,90.74
PL,Poland,2014PL16RFOP003,Development of Eastern Poland - ERDF,ERDF,Less developed,2018,2000000000.00,56400000.00,0.00,0.00,138650000.00,3396658.24,83553341.76,108100000.00,486846535.14,0.00,490243193.38,598343193.38,29.92,29.92
FR,France,2014FR16M0OP011,Martinique - ERDF/ESF/YEI,ESF,Less developed,2021,69557377.00,1997315.25,0.00,0.00,10109706.19,923921.25,6352892.93,4830207.26,17725957.79,41186.87,18608692.17,23438899.43,33.70,33.70
IT,Italy,2014IT05SFOP002,Systems for Active Employment Policies - IT - ESF,ESF,Transition,2014,32325724.00,303861.81,0.00,0.00,0.00,0.00,0.00,303861.81,0.00,0.00,0.00,303861.81,0.94,0.94
PT,Portugal,2014PT16CFOP001,Sustainability and Resource Use Efficiency - PT - CF,CF,,2017,2252742164.00,74115217.19,0.00,0.00,97937965.57,0.00,42351552.68,129701630.08,145321015.31,0.00,145321015.31,275022645.39,12.21,12.21
PT,Portugal,2014PT16M2OP003,Alentejo - ERDF/ESF,ESF,Less developed,2017,184704998.00,6076794.38,0.00,0.00,8030049.84,0.00,3472454.01,10634390.21,9975774.66,0.00,9975774.66,20610164.87,11.16,11.16
DE,Germany,2014DE06RDRP018,Saarland - Rural Development,EAFRD,,2016,33609276.00,1008278.28,0.00,0.00,0.00,0.00,0.00,1008278.28,1122059.13,0.00,1122059.13,2130337.41,6.34,6.34
MT,Malta,2014MT16M1OP001,Fostering a competitive and sustainable economy - MT - ERDF/CF,ERDF,Transition,2023,339353997.00,10388782.71,0.00,0.00,65833780.12,17249660.29,36441148.86,22531753.68,242956999.37,0.00,260206659.66,282738413.34,83.32,83.32
FR,France,2014FR06RDRP024,Centre - Rural Development,EAFRD,,2015,345908130.00,6918162.60,0.00,0.00,0.00,0.00,0.00,6918162.60,5534771.45,0.00,5534771.45,12452934.05,3.60,3.60
ES,Spain,2014ES16RFOP017,Madrid  - ERDF,ERDF,More developed,2022,262584067.00,8138181.00,0.00,0.00,41312190.74,5700961.05,23674613.96,20074796.73,231297107.81,0.00,236998068.86,257072865.59,97.90,97.90
IT,Italy,2014IT05SFOP008,Marche  - ESF,ESF,More developed,2016,143989809.00,4060512.60,0.00,0.00,2707008.40,0.00,0.00,6767521.00,440523.79,0.00,440523.79,7208044.79,5.01,5.01
IT,Italy,2014IT16RFOP020,Valle d'Aosta - ERDF,ERDF,More developed,2016,32175475.00,907348.38,0.00,0.00,604898.92,0.00,0.00,1512247.30,0.00,0.00,0.00,1512247.30,4.70,4.70
ES,Spain,2014ES05M9OP001,Youth Employment - ES - ESF/YEI,ESF,Less developed,2019,27478987.00,489626.24,0.00,0.00,2256193.89,0.00,1540860.20,1204959.93,4879675.34,-883946.92,5763622.26,6968582.19,25.36,25.36
IT,Italy,2014IT16RFOP019,Umbria - ERDF,ERDF,More developed,2018,206146602.00,5023734.18,0.00,0.00,13073813.21,0.00,7744923.54,10352623.85,27425607.25,0.00,27425607.25,37778231.10,18.33,18.33
BE,Belgium,2014BE16RFOP003,Wallonia - ERDF,ERDF,Transition,2016,656555114.00,18514854.24,0.00,0.00,12343236.16,0.00,0.00,30858090.40,0.00,0.00,0.00,30858090.40,4.70,4.70
PL,Poland,2014PL05M9OP001,Knowledge Education Growth  - PL - ESF/YEI,ESF,REACT-EU,2023,74356521.00,33460434.45,0.00,0.00,2974260.84,0.00,1487130.42,34947564.87,36256356.12,0.00,36256356.12,71203920.99,95.76,95.76
UK,United Kingdom,2014UK05M9OP002,Scotland - ESF/YEI,YEI,,2019,51014110.00,2778582.00,13429813.00,13429813.00,9064212.02,0.00,6830680.76,5012113.26,5593138.26,2499180.52,3093957.74,8106071.00,15.89,11.29
DE,Germany,2014DE05SFOP016,Bremen - ESF,ESF,More developed,2020,76161404.00,2147751.60,0.00,0.00,9485902.91,2081643.61,4372483.44,5179527.46,31706392.64,0.00,33788036.25,38967563.71,51.16,51.16
DE,Germany,2014DE05SFOP006,Brandenburg - ESF,ESF,Transition,2021,381554544.00,10220202.42,0.00,0.00,52770318.24,16555385.60,26653197.98,19781937.08,241377579.36,0.00,257932964.96,277714902.04,72.79,72.79
ES,Spain,2014ES05M9OP001,Youth Employment - ES - ESF/YEI,YEI ESF Matching Component,,2017,1361660750.00,33022371.03,0.00,0.00,43636704.57,0.00,18869926.30,57789149.30,94647395.58,0.00,94647395.58,152436544.88,11.19,11.19
GR,Greece,2014GR16M1OP001,Transport Infrastructure Environment and Sustainable Development - GR - ERDF/CF,ERDF,Transition,2023,216240884.00,6247924.16,10933867.28,0.00,41213862.53,8999608.44,22546503.14,26849542.39,183037659.11,2645925.94,189391341.61,216240884.00,100.00,100.00
SK,Slovakia,2014SK16M1OP002,Quality of Environment - SK - ERDF/CF,CF,,2023,1723862261.00,52483365.75,0.00,0.00,335233267.72,49818880.76,200640582.90,137257169.81,1098347154.04,17581484.69,1130584550.11,1267841719.92,73.55,73.55
ES,Spain,2014ES16RFSM001,SME Initiative - ES - ERDF,ERDF,Less developed,2020,42295016.00,2651653.62,0.00,2651606.77,7765557.04,2139230.64,5626326.40,46.85,52656680.41,12500942.14,42294968.91,42295015.76,100.00,100.00
TC,Interreg,2014TC16RFCB011,Interreg V-A - Germany/Brandenburg-Poland,ERDF,,2017,100152579.00,3004577.37,0.00,0.00,4632056.77,0.00,2003051.58,5633582.56,0.00,0.00,0.00,5633582.56,5.62,5.62
LU,Luxembourg,2014LU06RDNP001,Luxembourg - National Rural Development,EAFRD,,2016,100574600.00,3017238.00,0.00,0.00,0.00,0.00,0.00,3017238.00,18565479.46,0.00,18565479.46,21582717.46,21.46,21.46
CZ,Czechia,2014CZ16M1OP002,Environment  - CZ - ERDF/CF,CF,,2017,2276788653.00,63068311.23,0.00,0.00,99046099.85,0.00,42045540.82,120068870.26,176030400.69,0.00,176030400.69,296099270.95,13.01,13.01
PL,Poland,2014PL16M2OP012,Śląskie Voivodeship - ERDF/ESF,ESF,Less developed,2019,978045635.00,27580886.82,0.00,0.00,94234696.64,7488512.37,60314501.07,54012570.02,289801179.73,0.00,297289692.10,351302262.12,35.92,35.92
DE,Germany,2014DE16RFOP005,Bremen - ERDF,ERDF,More developed,2018,103021352.00,2905202.10,0.00,0.00,7141955.18,0.00,4478853.25,5568304.03,14748316.76,0.00,14748316.76,20316620.79,19.72,19.72
GR,Greece,2014GR05M2OP001,Reform of the Public Sector - GR - ESF/ERDF,ESF,Transition,2021,49800615.00,1565056.53,2738848.92,0.00,6838099.05,1565671.53,3318390.46,6257942.51,31110208.38,0.00,32675879.91,38933822.42,78.18,78.18
ES,Spain,2014ES05SFOP012,Social inclusion and social economy - ES - ESF,ESF,Less developed,2022,66150559.00,2504071.08,0.00,0.00,11794740.62,3076358.30,5966514.32,5255939.08,42898607.52,169933.94,45805031.88,51060970.96,77.19,77.19
TC,Interreg,2014TC16I5CB001,IPA CBC Hungary - Serbia,IPAE,,2021,32562000.00,6730151.00,0.00,0.00,0.00,0.00,0.00,6730151.00,24452475.33,0.00,24452475.33,31182626.33,95.76,95.76
PL,Poland,2014PL16M2OP015,Wielkopolskie Voivodeship - ERDF/ESF,ESF,Less developed,2016,689231240.00,19436320.98,0.00,0.00,12957547.32,0.00,0.00,32393868.30,17256358.19,0.00,17256358.19,49650226.49,7.20,7.20
PL,Poland,2014PL16RFOP002,Digital Poland - ERDF,ERDF,Less developed,2021,2023437714.00,57060943.56,0.00,0.00,292487921.68,68377799.70,155699316.90,125471748.64,1266457427.00,0.00,1334835226.70,1460306975.34,72.17,72.17
FR,France,2014FR05M0OP001,Île-de-France et Seine - ESF/ERDF/YEI,ESF,More developed,2023,214799150.00,8215249.20,0.00,0.00,49081761.28,5460962.30,31510389.59,20325658.59,175072985.33,8512711.45,172021236.18,192346894.77,89.55,78.29
ES,Spain,2014ES16RFOP018,Melilla  - ERDF,ERDF,REACT-EU,2023,4071366.00,556219.95,0.00,0.00,162854.64,0.00,81427.32,637647.27,1549962.02,0.00,1549962.02,2187609.29,53.73,53.73
FR,France,2014FR16M0OP003,Centre - ERDF/ESF/YEI,YEI,,2023,32837246.00,694280.16,3355687.44,0.00,4286676.18,2501271.02,1746020.82,4089351.94,22467470.48,0.00,24968741.50,29058093.44,88.49,88.49
ES,Spain,2014ES16RFOP013,Valenciana - ERDF,ERDF,More developed,2015,568024839.00,13258583.73,0.00,0.00,0.00,0.00,0.00,13258583.73,0.00,0.00,0.00,13258583.73,2.33,2.33
IT,Italy,2014IT16RFOP011,Liguria - ERDF,ERDF,More developed,2023,196272620.00,5534887.89,0.00,0.00,36222112.04,12600728.16,17155792.82,12000478.95,149554902.60,0.00,162155630.76,174156109.71,88.73,88.73
PT,Portugal,2014PT06RDRP001,Azores - Rural Development,EAFRD,,2016,295282051.00,10334871.79,0.00,0.00,0.00,0.00,0.00,10334871.79,53363119.82,0.00,53363119.82,63697991.61,21.57,21.57
FI,Finland,2014FI14MFOP001,Maritime and Fisheries - Finland,EMFF,,2022,74393168.00,2097887.34,0.00,0.00,12241395.81,5303043.82,4582844.66,4453394.67,59736287.48,0.00,65039331.30,69492725.97,93.41,93.41
FR,France,2014FR05M9OP001,Youth Employment - FR - ESF/YEI,YEI,,2018,658837662.00,12958159.20,62631102.80,0.00,38095197.80,3583628.06,16393534.04,93707297.70,307055304.64,14438224.16,296200708.54,389908006.24,59.18,59.18
TC,Interreg,2014TC16RFCB004,Interreg V-A - Austria–Germany/Bayern,ERDF,,2018,54478064.00,1634341.92,0.00,0.00,4017757.22,0.00,2519610.46,3132488.68,5805413.50,0.00,5805413.50,8937902.18,16.41,16.41
PL,Poland,2014PL16M2OP007,Mazowieckie Voivodeship - ERDF/ESF,ESF,More developed,2016,545153821.00,15373337.70,0.00,0.00,10248891.80,0.00,0.00,25622229.50,18580071.07,0.00,18580071.07,44202300.57,8.11,8.11
PL,Poland,2014PL16M2OP016,Zachodniomorskie Voivodeship - ERDF/ESF,ESF,Less developed,2020,450420863.00,12701868.33,0.00,0.00,56099918.46,11891063.10,25566013.81,31344709.88,190097041.29,0.00,201988104.39,233332814.27,51.80,51.80
GR,Greece,2014GR16M3TA001,Technical assistance - GR - ERDF/ESF/CF,ERDF,Less developed,2016,100213698.00,4426668.16,7746669.28,0.00,2213334.08,0.00,0.00,14386671.52,19113545.48,0.00,19113545.48,33500217.00,33.43,33.43
UK,United Kingdom,2014UK05M9OP002,Scotland - ESF/YEI,YEI ESF Matching Component,,2023,25507055.00,1389291.00,0.00,0.00,6827740.96,1248984.82,3951849.41,3016197.73,18464397.69,1249590.26,18463792.25,21479989.98,84.21,84.21
BG,Bulgaria,2014BG05M2OP001,Science and Education for Smart Growth  - BG - ESF/ERDF,ERDF,Less developed,2018,199921329.00,6863348.10,0.00,0.00,16872397.42,0.00,10580994.99,13154750.53,0.00,0.00,0.00,13154750.53,6.58,6.58
BG,Bulgaria,2014BG14MFOP001,Maritime and Fisheries - Bulgaria,EMFF,,2015,88066622.00,1655652.48,0.00,0.00,0.00,0.00,0.00,1655652.48,0.00,0.00,0.00,1655652.48,1.88,1.88
DE,Germany,2014DE16M2OP001,Niedersachsen - ERDF/ESF,ESF,More developed,2018,190068972.00,5359944.99,0.00,0.00,13176531.44,0.00,8263248.53,10273227.90,43820911.24,0.00,43820911.24,54094139.14,28.46,28.46
ES,Spain,2014ES05SFTA001,Technical Assistance - ES - ESF,ESF,Less developed,2021,2467757.00,107964.36,0.00,0.00,439569.19,64315.02,261497.20,221721.33,1316347.68,0.00,1380662.70,1602384.03,64.93,64.93
LV,Latvia,2014LV16MAOP001,Growth and Employment - LV - ERDF/ESF/CF/YEI,ESF,Less developed,2015,609544789.00,11459442.02,0.00,0.00,0.00,0.00,0.00,11459442.02,0.00,0.00,0.00,11459442.02,1.88,1.88
IT,Italy,2014IT05M2OP002,Governance and Institutional Capacity - IT - ESF/ERDF,ESF,More developed,2019,27352319.00,771335.40,0.00,0.00,2635395.96,40851.08,1855348.45,1510531.83,4106840.19,0.00,4147691.27,5658223.10,20.69,20.69
IT,Italy,2014IT16M2OP005,Research and Innovation - IT - ERDF/ESF,ESF,Transition,2016,16744320.00,472189.83,0.00,0.00,314793.22,0.00,0.00,786983.05,0.00,0.00,0.00,786983.05,4.70,4.70
DE,Germany,2014DE16RFOP004,Brandenburg - ERDF,ERDF,REACT-EU,2022,45897109.00,4523394.00,0.00,0.00,603119.20,0.00,0.00,5126513.20,1468354.30,0.00,1468354.30,6594867.50,14.37,14.37
HR,Croatia,2014HR05M9OP001,Efficient Human Resources - HR - ESF/YEI,YEI,,2023,206310104.00,3970628.64,19191371.76,0.00,24195684.36,19441087.43,11824322.06,16092275.27,148957411.33,0.00,168398498.76,184490774.03,89.42,89.42
TC,Interreg,2014TC16I5CB002,IPA CBC Romania - Serbia,IPAE-contribution from ERDF,,2020,37453124.00,7741084.00,0.00,0.00,0.00,0.00,0.00,7741084.00,16390338.95,0.00,16390338.95,24131422.95,64.43,64.43
DE,Germany,2014DE16M2OP001,Niedersachsen - ERDF/ESF,ERDF,More developed,2018,463407390.00,13068088.38,0.00,0.00,32125717.27,0.00,20146636.25,25047169.40,66458574.75,0.00,66458574.75,91505744.15,19.75,19.75
TC,Interreg,2014TC16RFCB051,Interreg V-A - Mayotte-Comores-Madagascar,ERDF,,2021,11651527.00,360866.49,0.00,0.00,1820262.85,0.00,1241401.92,939727.42,1186069.72,666660.26,519409.46,1459136.88,12.52,12.13
PL,Poland,2014PL16M1OP001,Infrastructure and Environment - PL - ERDF/CF,ERDF,Less developed,2018,4695460341.00,132411981.60,0.00,0.00,325512788.10,43528468.75,160606669.55,253789631.40,1361066140.68,0.00,1404594609.43,1658384240.83,35.32,35.32
ES,Spain,2014ES16RFOP008,Cantabria  - ERDF,ERDF,More developed,2022,60087073.00,1716257.31,0.00,0.00,7994280.46,5927561.71,3434245.39,348730.67,53810780.62,0.00,59738342.33,60087073.00,100.00,100.00
IT,Italy,2014IT05SFOP001,Social Inclusion - IT - ESF,ESF,Transition,2018,45700000.00,1006740.00,0.00,0.00,2733402.50,757.98,1551299.52,2188085.00,1542974.00,0.00,1543731.98,3731816.98,8.17,8.17
GR,Greece,2014GR16M2OP001,Competitiveness Entrepreneurship and Innovation - GR - ERDF/ESF,ESF,Less developed,2016,416371951.00,15661606.80,27407811.90,0.00,7830803.40,0.00,0.00,50900222.10,583836.96,0.00,583836.96,51484059.06,12.36,12.36
FR,France,2014FR16M0OP005,Haute-Normandie - ERDF/ESF/YEI,ESF,More developed,2015,47485143.00,892720.68,0.00,0.00,0.00,0.00,0.00,892720.68,0.00,0.00,0.00,892720.68,1.88,1.88
AT,Austria,2014AT16RFOP001,Investments in Growth and Employment - AT - ERDF,ERDF,Transition,2017,46997285.00,1325323.44,0.00,0.00,2043206.98,0.00,883548.96,2484981.46,2531188.08,0.00,2531188.08,5016169.54,10.67,10.67
PL,Poland,2014PL16M2OP005,Łódzkie Voivodeship - ERDF/ESF,ERDF,Less developed,2015,1621433387.00,30482947.68,0.00,0.00,0.00,0.00,0.00,30482947.68,0.00,0.00,0.00,30482947.68,1.88,1.88
ES,Spain,2014ES05SFOP022,Andalucía - ESF,ESF,Transition,2019,1039832060.00,31405629.36,0.00,0.00,94277608.99,0.00,66176147.58,59507090.77,169866393.47,0.00,169866393.47,229373484.24,22.06,22.06
IT,Italy,2014IT16RFOP016,Sicilia - ERDF,ERDF,Less developed,2016,3418431018.00,96399754.71,0.00,0.00,64266503.14,0.00,0.00,160666257.85,0.00,0.00,0.00,160666257.85,4.70,4.70
GR,Greece,2014GR16M2OP014,Eastern Macedonia-Thrace - ERDF/ESF,ESF,Less developed,2017,62714347.00,1999357.01,3498874.76,0.00,2311756.53,227614.69,772063.81,6810309.80,8716094.73,0.00,8943709.42,15754019.22,25.12,25.12
TC,Interreg,2014TC16RFCB037,Interreg V-A - Italy-Malta,ERDF,,2020,43952171.00,1318565.13,0.00,0.00,5823662.66,0.00,3241472.61,3900755.18,6124591.95,0.00,6124591.95,10025347.13,22.81,22.81
DK,Denmark,2014DK14MFOP001,Maritime and Fisheries - Denmark,EMFF,,2021,208355420.00,5875622.82,0.00,0.00,30117775.88,9129587.94,15869883.32,10993927.44,109010612.99,0.00,118140200.93,129134128.37,61.98,61.98
IT,Italy,2014IT16M2OP001,Molise  - ERDF/ESF,ERDF,Transition,2017,52950497.00,1493204.01,0.00,0.00,2302022.85,0.00,995469.34,2799757.52,475406.28,0.00,475406.28,3275163.80,6.19,6.19
CY,Cyprus,2014CY14MFOP001,Maritime and Fisheries - Cyprus,EMFF,,2023,39715209.00,1493291.88,0.00,0.00,7329441.91,1939725.45,3943007.28,2940001.06,30504431.28,315425.48,32128731.25,35068732.31,88.30,88.30
FR,France,2014FR16RFOP007,Réunion – ERDF,ERDF,Outermost or Northern Sparsely Populated,2016,190284816.00,5366031.78,0.00,0.00,3577354.52,0.00,0.00,8943386.30,0.00,0.00,0.00,8943386.30,4.70,4.70
IT,Italy,2014IT16RFOP008,Emilia-Romagna - ERDF,ERDF,More developed,2021,240947636.00,6794723.34,0.00,0.00,34828980.81,12384572.85,15731468.22,13507663.08,126065948.58,0.00,138450521.43,151958184.51,63.07,63.07
GR,Greece,2014GR05M9OP001,Human Resources Development Education and Lifelong Learning - GR - ESF/YEI,ESF,Less developed,2015,1068478721.00,30056204.44,39379156.50,0.00,0.00,0.00,0.00,69435360.94,0.00,0.00,0.00,69435360.94,6.50,6.50
MT,Malta,2014MT16M1OP001,Fostering a competitive and sustainable economy - MT - ERDF/CF,CF,,2023,204992109.00,6140327.46,0.00,0.00,39419306.16,13513373.19,19492274.86,12553985.57,154731286.86,0.00,168244660.05,180798645.62,88.20,88.20
BE,Belgium,2014BE05M9OP002,Brussels-Capital Region : Investment for growth and jobs - ESF/YEI,YEI ESF Matching Component,,2019,8891909.00,176133.30,0.00,0.00,761013.23,83297.97,427539.46,426309.10,4151530.14,1744.28,4233083.83,4659392.93,52.40,52.40
HR,Croatia,2014HR16M1OP001,Competitiveness and Cohesion  - HR - ERDF/CF,ERDF,REACT-EU,2022,132557340.00,4724799.45,0.00,0.00,1259946.52,0.00,629973.26,5354772.71,0.00,0.00,0.00,5354772.71,4.04,4.04
ES,Spain,2014ES14MFOP001,Maritime and Fisheries - Spain,EMFF,,2020,1089301383.00,38217327.26,0.00,0.00,143180106.19,12026533.33,79542070.19,89828829.93,279107011.19,0.00,291133544.52,380962374.45,34.97,32.80
PL,Poland,2014PL16M2OP012,Śląskie Voivodeship - ERDF/ESF,ERDF,Less developed,2015,2498891499.00,46979160.10,0.00,0.00,0.00,0.00,0.00,46979160.10,0.00,0.00,0.00,46979160.10,1.88,1.88
FR,France,2014FR16RFOP004,Interregional Pyrénées - ERDF,ERDF,Transition,2018,14625324.00,414540.00,0.00,0.00,1019077.51,0.00,639082.51,794535.00,2393492.25,0.00,2393492.25,3188027.25,21.80,21.69
IT,Italy,2014IT06RDRP008,Marche - Rural Development,EAFRD,,2016,231969000.00,6959070.00,0.00,0.00,0.00,0.00,0.00,6959070.00,4603687.95,0.00,4603687.95,11562757.95,4.98,4.98
LU,Luxembourg,2014LU16RFOP001,Luxembourg - ERDF,ERDF,More developed,2014,19502403.00,183322.59,0.00,0.00,0.00,0.00,0.00,183322.59,0.00,0.00,0.00,183322.59,0.94,0.94
ES,Spain,2014ES05SFOP020,Valenciana - ESF,ESF,More developed,2016,177408383.00,5836735.80,0.00,0.00,3335277.60,0.00,0.00,9172013.40,0.00,0.00,0.00,9172013.40,5.17,5.17
FR,France,2014FR05SFOP005,Réunion - ESF,ESF,REACT-EU,2023,148094472.00,17065382.55,0.00,0.00,7512658.12,0.00,4550768.68,20027271.99,79969782.48,0.00,79969782.48,99997054.47,67.52,67.52
GR,Greece,2014GR16M3TA001,Technical assistance - GR - ERDF/ESF/CF,ERDF,More developed,2018,31199771.00,1453231.33,2543154.82,0.00,2448212.42,869318.71,720900.01,4854379.85,12971836.37,0.00,13841155.08,18695534.93,59.92,59.92
ES,Spain,2014ES16RFSM001,SME Initiative - ES - ERDF,ERDF,Less developed,2016,75761532.00,2651653.62,0.00,0.00,1515230.64,0.00,0.00,4166884.26,44261919.95,0.00,44261919.95,48428804.21,63.92,63.92
TC,Interreg,2014TC16RFCB006,Interreg V-A - Spain-France-Andorra (POCTEFA),ERDF,,2023,189341397.00,5680241.91,0.00,0.00,36448218.92,2864263.14,24353562.68,14910635.01,133617057.11,300583.47,136180736.78,151091371.79,79.80,79.80
FR,France,2014FR05M9OP002,Alsace - ESF/YEI,YEI ESF Matching Component,,2021,4485714.00,0.00,0.00,0.00,476607.12,47907.67,210020.89,218678.56,1462909.68,0.00,1510817.35,1729495.91,38.56,38.56
DE,Germany,2014DE05SFOP011,Saarland - ESF,ESF,More developed,2015,73951945.00,1390296.56,0.00,0.00,0.00,0.00,0.00,1390296.56,0.00,0.00,0.00,1390296.56,1.88,1.88
FR,France,2014FR05M2OP001,Guadeloupe et St Martin - ESF/ERDF,ERDF,Outermost or Northern Sparsely Populated,2018,7242134.00,204228.18,0.00,0.00,502060.95,0.00,314851.78,391437.35,0.00,0.00,0.00,391437.35,5.41,5.41
FR,France,2014FR16M2OP006,Limousin - ERDF/ESF,ERDF,REACT-EU,2022,30630366.00,3547300.20,0.00,0.00,1085580.68,0.00,472973.36,4159907.52,906865.20,0.00,906865.20,5066772.72,16.54,16.54
ES,Spain,2014ES16RFOP017,Madrid  - ERDF,ERDF,REACT-EU,2023,672500000.00,88053499.35,0.00,0.00,26900000.00,0.00,13450000.00,101503499.35,304792580.26,0.00,304792580.26,406296079.61,60.42,60.42
NL,Netherlands,2014NL16RFOP004,East Netherlands - ERDF,ERDF,More developed,2018,101043411.00,2828524.59,0.00,0.00,6972614.22,0.00,4360642.08,5440496.73,16304145.89,0.00,16304145.89,21744642.62,21.52,21.52
IT,Italy,2014IT16RFOP020,Valle d'Aosta - ERDF,ERDF,More developed,2020,32175475.00,907348.38,0.00,0.00,4007455.35,1100958.70,1667508.76,2146336.27,14215560.25,0.00,15316518.95,17462855.22,54.27,54.27
SK,Slovakia,2014SK16RFOP002,Integrated Regional Programme - SK - ERDF,ERDF,More developed,2017,86667507.00,2442551.34,0.00,0.00,3765599.98,0.00,1628367.56,4579783.76,2319654.21,0.00,2319654.21,6899437.97,7.96,7.96
PL,Poland,2014PL16M2OP009,Podkarpackie Voivodeship - ERDF/ESF,ERDF,Less developed,2021,1519517194.00,42850384.86,0.00,0.00,219646210.36,66431587.05,113948381.67,82116626.50,1102580663.89,0.00,1169012250.94,1251128877.44,82.34,82.34
CZ,Czechia,2014CZ05M2OP001,Research Development and Education - CZ - ESF/ERDF,ESF,Less developed,2022,1168125739.00,32941145.82,0.00,0.00,192215090.27,48202619.50,99236250.97,77717365.62,903108809.03,0.00,951311428.53,1029028794.15,88.09,88.09
UK,United Kingdom,2014UK05SFOP005,Gibraltar - ESF,ESF,More developed,2021,4174426.00,136525.83,0.00,0.00,596794.59,167799.39,348545.57,216975.46,3733982.47,0.00,3901781.86,4118757.32,98.67,90.51
ES,Spain,2014ES05SFOP002,Employment training and education - ES - ESF,ESF,REACT-EU,2022,2247000000.00,171632013.75,0.00,0.00,22884268.50,0.00,0.00,194516282.25,0.00,0.00,0.00,194516282.25,8.66,8.66
CZ,Czechia,2014CZ16CFTA001,Technical Assistance - CZ - CF,CF,,2017,209704582.00,6711137.46,0.00,0.00,10346336.92,0.00,4474091.64,12583382.74,34329575.17,0.00,34329575.17,46912957.91,22.37,22.37
UK,United Kingdom,2014UK16RFOP002,Gibraltar - ERDF,ERDF,More developed,2015,5683314.00,106846.30,0.00,0.00,0.00,0.00,0.00,106846.30,0.00,0.00,0.00,106846.30,1.88,1.88
DE,Germany,2014DE06RDRP015,Nordrhein-Westfalen - Rural Development,EAFRD,,2016,618257729.00,18547731.87,0.00,0.00,0.00,0.00,0.00,18547731.87,37658662.03,0.00,37658662.03,56206393.90,9.09,9.09
PL,Poland,2014PL16M2OP013,Świętokrzyskie Voivodeship - ERDF/ESF,ERDF,Less developed,2015,980704066.00,18437236.44,0.00,0.00,0.00,0.00,0.00,18437236.44,0.00,0.00,0.00,18437236.44,1.88,1.88
ES,Spain,2014ES06RDRP002,Aragón  - Rural Development,EAFRD,,2016,466986760.00,16344536.60,0.00,0.00,0.00,0.00,0.00,16344536.60,43611999.87,0.00,43611999.87,59956536.47,12.84,12.84
ES,Spain,2014ES05SFOP005,Baleares  - ESF,ESF,REACT-EU,2022,97869474.00,10144843.80,0.00,0.00,1352645.84,0.00,0.00,11497489.64,40834721.97,0.00,40834721.97,52332211.61,53.47,53.47
