MS,MS Name,CCI,Programme Title,Fund,Category of region,Year,Net Planned EU Amount,Cumulative initial pre-financing,Cumulative additional initial pre-financing,Recovery of initial pre-financing,Cumulative annual pre-financing,Pre-financing covered by expenditure,Recovery of annual pre-financing,Net pre-financing,Cumulative interim payments,Recovery of expenses,Net interim payments,Total net payments,EU payment rate,EU Payment Rate on Planned EU Amount
SI,Slovenia,2014SI16MAOP001,EU Cohesion Policy - SI - ERDF/ESF/CF/YEI,ERDF,Less developed,2021,907392844.00,24872829.87,0.00,0.00,130060344.40,3969922.39,83420273.53,67542978.35,576260923.05,6216594.30,574014251.14,641557229.49,70.70,70.70
CZ,Czechia,2014CZ16M2OP001,Prague Growth Pole - ERDF/ESF,ERDF,More developed,2016,153611659.00,4331848.77,0.00,0.00,2887899.18,0.00,0.00,7219747.95,0.00,0.00,0.00,7219747.95,4.70,4.70
HR,Croatia,2014HR05M9OP001,Efficient Human Resources - HR - ESF/YEI,YEI Specific Allocation,,2018,101295052.00,1985314.32,19191371.76,0.00,5846306.84,256292.97,2804399.94,23962300.01,48580530.34,0.00,48836823.31,72799123.32,71.87,71.87
FR,France,2014FR16M0OP008,Picardie - ERDF/ESF/YEI,YEI ESF Matching Component,,2023,11458310.00,214580.34,0.00,0.00,1993980.43,382955.56,907061.49,918543.72,8078283.96,0.00,8461239.52,9379783.24,81.86,81.86
UK,United Kingdom,2014UK16RFOP001,England - ERDF,ERDF,Transition,2017,1090037505.00,30169959.84,0.00,0.00,46512021.42,0.00,20113306.56,56568674.70,59457049.21,0.00,59457049.21,116025723.91,10.64,10.64
BG,Bulgaria,2014BG05M2OP001,Science and Education for Smart Growth  - BG - ESF/ERDF,ESF,Less developed,2016,352619543.00,9944218.65,0.00,0.00,6629479.10,0.00,0.00,16573697.75,0.00,0.00,0.00,16573697.75,4.70,4.70
HU,Hungary,2014HU16M0OP001,Economic Development and Innovation Programme - HU - ERDF/ESF/YEI,YEI,,2018,99530712.00,2985921.36,14431953.24,0.00,6226603.86,908323.20,3694972.24,19041183.02,62536571.34,0.00,63444894.54,82486077.56,82.87,82.87
PT,Portugal,2014PT16M2OP004,Azores - ERDF/ESF,ERDF,REACT-EU,2021,72813559.00,8009491.49,0.00,0.00,1456271.18,0.00,0.00,9465762.67,25412290.69,0.00,25412290.69,34878053.36,47.90,47.90
FR,France,2014FR16M0OP015,Lorraine et Vosges - ERDF/ESF/YEI,ESF,Transition,2014,71791201.00,674837.29,0.00,0.00,0.00,0.00,0.00,674837.29,0.00,0.00,0.00,674837.29,0.94,0.94
AT,Austria,2014AT16RFOP001,Investments in Growth and Employment - AT - ERDF,ERDF,REACT-EU,2022,157695524.00,55719167.40,0.00,0.00,5630317.92,0.00,2476407.44,58873077.88,18962214.23,0.00,18962214.23,77835292.11,49.36,49.36
TC,Interreg,2014TC16RFCB024,Interreg V-A - Germany-Austria-Switzerland-Liechtenstein (Alpenrhein-Bodensee-Hochrhein),ERDF,,2019,39588430.00,1187652.90,0.00,0.00,4057814.08,464769.36,2454877.36,2325820.26,15035953.48,0.00,15500722.84,17826543.10,45.03,45.03
TC,Interreg,2014TC16I5CB010,IPA CBC Greece - Albania,IPAE,,2016,17982611.00,3162236.00,0.00,0.00,0.00,0.00,0.00,3162236.00,0.00,0.00,0.00,3162236.00,17.58,17.58
DE,Germany,2014DE16M2OP001,Niedersachsen - ERDF/ESF,ERDF,Transition,2022,206225848.00,6412187.61,0.00,0.00,36569529.20,8193591.70,18344047.62,16444077.49,144062018.76,0.00,152255610.46,168699687.95,81.80,81.80
DE,Germany,2014DE05SFOP012,Sachsen - ESF,ESF,Transition,2019,562658442.00,15866968.08,0.00,0.00,54212140.94,4522494.19,34483802.34,31072812.49,148156185.39,0.00,152678679.58,183751492.07,32.66,32.66
ES,Spain,2014ES16RFSM001,SME Initiative - ES - ERDF,ERDF,More developed,2019,562479232.00,19686773.12,0.00,0.00,57654121.28,11249584.64,30233258.72,35858051.04,554774380.47,50820389.66,515203575.45,551061626.49,97.97,97.97
UK,United Kingdom,2014UK05SFOP002,East Wales - ESF,ESF,More developed,2017,203312254.00,5733405.57,0.00,0.00,8839000.25,0.00,3822270.38,10750135.44,25150612.65,0.00,25150612.65,35900748.09,17.66,17.66
IT,Italy,2014IT16RFOP021,Veneto - ERDF,ERDF,More developed,2022,300155358.00,8464381.11,0.00,0.00,49390564.24,13829650.21,26931919.61,17093375.53,219517634.56,0.00,233347284.77,250440660.30,83.44,83.44
DE,Germany,2014DE16RFOP004,Brandenburg - ERDF,ERDF,Transition,2017,845643228.00,23847139.02,0.00,0.00,36764339.34,0.00,15898092.68,44713385.68,70007588.17,0.00,70007588.17,114720973.85,13.57,13.57
PL,Poland,2014PL16M2OP013,Świętokrzyskie Voivodeship - ERDF/ESF,ERDF,Less developed,2017,980704066.00,27655854.66,0.00,0.00,42636109.27,0.00,18437236.44,51854727.49,29561192.80,0.00,29561192.80,81415920.29,8.30,8.30
FR,France,2014FR16M0OP004,Champagne-Ardenne - ERDF/ESF/YEI,YEI Specific Allocation,,2016,5301635.00,159049.05,1537474.15,0.00,106032.70,0.00,0.00,1802555.90,930893.71,0.00,930893.71,2733449.61,51.56,51.56
BG,Bulgaria,2014BG06RDNP001,Bulgaria - National Rural Development,EAFRD,,2023,3129044775.00,71001508.98,0.00,0.00,0.00,0.00,0.00,71001508.98,2003444633.80,0.00,2003444633.80,2074446142.78,66.30,66.30
ES,Spain,2014ES05SFOP008,Ceuta  - ESF,ESF,More developed,2022,10543817.00,339590.06,0.00,0.00,1719599.74,572902.51,935820.89,550466.40,7039446.53,0.00,7612349.04,8162815.44,77.42,77.42
TC,Interreg,2014TC16RFTN009,Interreg V-B - Indian Ocean Area,ERDF,,2021,63157387.00,1894721.61,0.00,0.00,9631501.52,1455922.21,5536856.07,4533444.85,26044551.73,0.00,27500473.94,32033918.79,50.72,50.72
